REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20080276,ONEOK NGL PIPELINE LP,9/16/2008,97.31875,39.363028,BUTANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,7,,,,INCORRECT OPERATION,,,,,,,0,0,0,0,,7,0,0,,YES,1,7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOB AEBI,5803956294,ROBERT.AEBI@ONEOK.COM,5803952933,
20080277,"MAGELLAN AMMONIA PIPELINE, L.P.",8/18/2008,38.59443,-97.60373,ANHYDROUS AMMONIA,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,15,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,49727,,,,MATERIAL AND/OR WELD FAILURES,,,19.5,N/A,881030,8/18/2008,1700,0,0,0,,27,48000,0,,YES,1,5,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH LYBARGER,9185747315,KEN.LYBARGER@MAGELLANLP.COM,9185747246,
20080278,"TE PRODUCTS PIPELINE COMPANY, LLC",9/5/2008,N42 25 14.30,W076 12 8.06,BUTANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,25,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,5575,,,,CORROSION,,,HARFORD MILLS TERMINAL,,,,0,0,0,0,,75,0,5500,CLEANUP & REPAIR,YES,1,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLYNN P. STOUT,7133813614,JPSTOUT@TEPPCO.COM,7133814790,
20080280,PLANTATION PIPE LINE CO,8/27/2008,35 40 52.74,80 30 23.77,GAS FUEL MIXTURE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",25,25,2,GALLONS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,SUMP,,,,,,,22100,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,NATURAL FORCES,,,,SALISBURY STATION,881941,8/27/2008,0,0,0,0,,100,0,22000,CLEAN UP COSTS,YES,3,2,SALISBURY STATION,NO,INTERSTATE,,,,NO,YES,NO,YES,"OPA, DW",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,5,,0,0,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,,,,NO,,,,,0,NO,NO,NO,NO,NO,NO,NO,0.6,NO,YES,NO,NO,,,YES,3,,,2,5,HEAVY RAINS/FLOODS,,,,,,,,,,,,,,,,,,5,OTHER,OVERFLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINTIN FRAZIER,7707514240,QUINTIN_FRAZIER@KINDERMORGAN.COM,7707514130,"ON AUGUST 27, 2008 A 25 GALLON RELEASE OF GASOLINE/FUEL MIXTURE FROM AN INACTIVE SUMP SYSTEM OCCURRED DUE TO HEAVY RAINS.  STORM WATER FLOODED THE SUMP AREA AND ENTERED THE SUMP SYSTEM DISPLACING AND RELEASING PRODUCT TO THE REMOTE CATCH BASIN.  STORM WATER ENTERED THE SUMP SYSTEM THROUGH THE MANWAY CLOSURE AND COLLECTION BOX CLOSURE. THE PRODUCT RELEASED AND CASUED A SHEEN ON THE REMOTE CATCH BASIN.  THE CATCH BASIN OVERFLOWED FROM THE STORM WATER SURGE DURING THE HEAVY RAINS.  HEAVY VEGETATION AT THE CATCH BASIN DISCHARGE KEPT THE PRODUCT SHEEN IN THE IMMEDIATE AREA OF THE BASIN DISCHARGE.  SOIL AND VEGETATION WERE REMOVED FOR OFF SITE DISPOSAL.  PRODUCT SHEEN WAS REMOVED FOR OFF SITE DISPOSAL.  SUMP SYSTEM CLOSURES WERE SEALED TO PREVENT POTENTIAL RECURRENCE FROM FLOOD CONDITIONS.  PIPELINE WAS DOWN PRIOR TO RELEASE AND THERE WAS NO DOWN TIME DUE TO EMERGENCY RESPONSE."
20080281,"PLAINS MARKETING, L.P.",8/23/2008,30.0084333 N,92.7748167 W,CONDENSATE,CRUDE OIL,200,50,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,PUMP,,,1997,,,,42500,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,,LOWRY STATION,,,0,21000,2500,0,,16500,1000,1500,REPAIRS,YES,4,6,GRAND LAKE,NO,INTRASTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,4,,350,795,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,3,0,0,0,0,0,0,14,0,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,0,2,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,OTHER,PUMP CERAMIC PLUNGER,,,,,,,,,,,,"GILBERT C. SCHUTZA, P.E., COMPLIANCE ENGINEER",7136464433,CE.GCSCHUTZA@PAALP.COM,7136464310,A LOCAL PLANT EMPLOYEE DISCOVERED A RELEASE OF CONDENSATE AND CONTACTED A PLAIN'S OPERATION PERSON WHO IMMEDIATELY SHUTDOWN THE PIPELINE SYSTEM.    INVESTIGATION DETERMINED THAT THE RELEASED CONDENSATE WAS DUE TO A SHATTERED CERAMIC PLUNGER ON A TRI-PLEX PUMP CAUSING CONDENSATE TO BE RELEASED THROUGH THE VALVE/PISTON TO A SUMP AND A CONTAINMENT DIKE WHICH OVERFLOWED TO COMPANY LAND AND NEARBY ADJACENT PROPERTY.
20080282,AMOCO OIL CO,8/25/2008,39.12009,-94.44455,DIESEL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",40,30,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,5930,,,,EQUIPMENT,,,SUGAR CREEK STATION,,881791,8/25/2008,0,0,0,0,,0,2600,3330,CLEAN-UP AND REMEDIATION,YES,3,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICHAEL SANDERS,6308367744,SANDM9@BP.COM,6308363582,
20080283,BP PIPELINE (NORTH AMERICA) INC.,8/26/2008,37.21167,-95.78806,CRUDE OIL,CRUDE OIL,80,80,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,4,BODY OF PIPE,20,,1947,,LEAK,PUNCTURE,176000,NO,A THIRD PARTY,NO,EXCAVATION DAMAGE,,,96.8,,881846,8/26/2008,0,20000,131000,0,,10000,15000,0,,YES,4,3,NO. 1 DRUMRIGHT - FREEMAN,NO,INTERSTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,81,789,1,,3,4,,,,,YES,NO,NO,NO,YES,NO,NO,NO,1156584,85325,YES,1,YES,YES,2007,NO,,NO,,YES,2007,YES,2007,NO,,NO,,NO,,0.31,GRADE B,35000,SEAMLESS, -,NATIONAL,1947,4,0,0,0,0,0,0,1,12,0,NO,,,,5,0,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,6,,0,5,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,2,GOVERNMENT,1,ROAD WORK,,2,"SUB-STRATA (BORING, DIRECTIONAL DRILLING, ETC)",NO,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICHAEL SANDERS,6308367744,SANDM9@BP.COM,6308363582,"BP'S NO. 1 CRUDE SYSTEM WAS STRUCK BY A MONTGOMERY CO., KS, ROAD GRADER PERFORMING ROAD MAINTENANCE ACTIVITIES ON A CLAY COUNTY ROAD NEAR INDEPENDENCE, KANSAS.  NO 1-CALL NOTIFICATION REQUEST WAS PLACED PRIOR TO THE INCIDENT. AT THE TIME OF THE LINE STRIKE THE SYSTEM WAS DOWN AND UPSTREAM VALVE WAS CLOSED DUE TO MAINTENANCE ON THE PIPELINE SYSTEM IN AN UPSTREAM STATION.  AN EXTERNAL CALLER REPORTED THE LEAK TO BP'S CONTROL CENTER IN TULSA, OK. THE CONTROL CENTER NOTIFIED FIELD PERSONNEL.  EMERGENCY RESPONSE PERSONNEL AND VAC TRUCKS WERE IMMEDIATELY DISPATCHED TO THE SITE.  THE GRADER WHO HIT THE LINE CONSTRUCTED AN EARTHEN BERM TO CONTAIN THE OUTAGE."
20080284,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",8/25/2008,"46° 41' 16""","-90° 03' 31""",CRUDE OIL,CRUDE OIL,115,108,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,,BODY OF PIPE,24,,1990,,,,50800,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,CORROSION,,,TANK 9 RELIEF LINE ,,881751,8/25/2008,0,0,0,0,,800,2000,48000,REPAIR & CLEANUP,YES,4,1,TANK 9 RELIEF LINE,NO,INTERSTATE,,,,NO,YES,NO,YES,"OP, DW, CNW",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,1,,30,224,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.38,API 5L GRADE B,35000,SINGLE SAW,,,1990,4,0,0,0,0,0,0,0,7,0,NO,,,,0,12,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,1,,2,"CORROSION, INTERNAL",2,COATED,3,OTHER,N/A,4,MICROBIOLOGICAL,,YES,1990,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMILY JURGENS,7153941547,EMILY.JURGENS@ENBRIDGE.COM,,"AT APPROXIMATELY 12:45 PM CENTRAL TIME (11:45 AM MST) ON AUGUST 25, 2008, DURING ROUTINE SITE INPECTION, SUPERIOR TERMINAL OPERATIONS PERSONNEL NOTICED OIL ON THE GROUND CONTAINED IN THE NORTHWEST CORNER OF THE TANK 9 TANK LOT.  AT THE TIME OF DISCOVERY INCOMING DELIVERY LINES NO. 1,2,3 AND 4 WERE SHUT DOWN, AND THE RELIEF LINE SERVICING THE TERMINAL WAS ISOLATED.  PERSONNEL WAS IMMEDIATELY MOBILIZED TO SECURE THE AREA, INITATE INVESTIGATION AND CLEAN-UP THE SITE.  THE NATIONAL RESPONSE CENTER, PHMSA AND WISCONSIN DEPARTMENT OF NATURAL RESOURCES WERE NOTIFIED.  FREE PRODUCT WAS COLLECTED AND APPROXIMATELY 108 BARRELS WERE RECOVERED (FROM THE 115 BBLS RELEASED).  THE REMAINING VOLUME OF OIL ABSORBED INTO THE SURROUNDING SOIL.  THE CONTAMINATED SOIL (CLAY) WAS EXCAVATED AND 500 YARDS OF MATERIAL WAS REMOVED FROM THE SITE FOR TREATMENT/DISPOSAL AT A LICENCED FACILITY.      UPON INVESTIGATION THE LEAK WAS CONFIRMED TO ORIGINATE FROM THE 24-INCH TANK 9 RELIEF LINE.  THE LEAK WAS LOCATED APPROXIMATELY 95 FEET NORTHWEST FROM VALVE 301-V-921 WITHIN THE TANK LOT.  AT THE TIME OF THE INCIDENT THE LINE PRESSURE WAS LESS THAN 30 PSI.  UPON INITIAL ASSESSMENT THE SUSPECTED CAUSE OF THE LEAK WAS INTERNAL CORROSION AT THE UNDERSIDE OF THE PIPE (SIX O'CLOCK POSITION).  THE LINE WAS CLEANED AND REPAIRED USING A 24-INCH PLIDCO SPILT +SLEEVE AND RETURNED TO SERVICE.  ALL INCOMING DELIVERY LINES TO THE TERMINAL WERE RESTARTED BY 8:00 PM CENTRAL TIME (7:00 PM MST), AUGUST 25, 2008.    FOLLOW-UP ASSESSMENT    AN APPROXIMATE 20 FOOT SECTION OF PIPE AROUND THE LEAK SITE WAS EXCAVATED, CLEANED AND ULTRASONICALLY TESTED (C-SCAN) BY A THIRD-PARTY TESTING COMPANY ON AUGUST 28, 2008.  ADDITIONAL CORROSION FEATURES WERE FOUND WITHIN THIS TEST SECTION, HOWEVER THESE CORROSION ANOMOLIES ARE WITHIN ENBRIDGE CORROSION TOLERANCES AND DO NOT REQUIRE IMMEDIATE REPAIR AND THE LINE REMAINS ""FIT FOR DUTY"".  THE ASSESSMENT RESULTS FOR THIS RELIEF LINE WILL BE FURTHER EVALUATED BY ENBRIDGE AND INCORPORATED INTO THE STATION PIPING PROGRAM AND RISK ASSESSMENT FOR SYSTEM INTEGRITY MANAGEMENT."
20080285,"KOCH PIPELINE COMPANY, L.P.",8/25/2008,28.605876,-97.800364,CRUDE OIL,CRUDE OIL,20,10,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,33330,,,,CORROSION,,,,PETTUS STATION,,,0,25265,8000,0,,65,0,0,,YES,4,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARLENE MITCHELL,3168284121,KARLENE.MITCHELL@KOCHPIEPLINE.COM,3165296377,
20080286,COLONIAL PIPELINE CO,9/22/2008,37.15778,-78.835,FUEL OIL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,2,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,3755,,,,OTHER OUTSIDE FORCE DAMAGE,,,HANCOCK STATION,,884896,9/22/2008,0,0,0,0,,82,0,3673,RESPONSE AND SOIL REMOVAL,YES,3,4,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. MAC TAYLOR,6787622872,ATAYLORJ@COLPIPE.COM,6787622464,
20080287,"TEPPCO CRUDE PIPELINE, LLC",9/26/2008,N34 09.86,W097 32.59,CRUDE OIL,CRUDE OIL,2,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,10216,,,,CORROSION,,,RINGLING STATION,,,,216,0,0,0,,0,0,10000,CLEAN UP AND REPAIR,YES,4,1,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JLYNN P. STOUT,7133813614,JPSTOUT@TEPPCO.COM,7133814790,
20080288,"WESTERN REFINING SOUTHWEST, INC",9/11/2008,36.044106N,107.610227W,CRUDE OIL,CRUDE OIL,14,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,30535,,,,EQUIPMENT,,,STAR LAKE,,,,0,0,500,0,,35,0,30000,EQUIPMENT REPAIR,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAVE RICHARDS,5056324039,DAVE.RICHARDS@WNR.COM,5056324021,
20080289,"MAGELLAN PIPELINE COMPANY, LP",9/11/2008,36.131585,-96.031728,BUTANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,1000,,,,EQUIPMENT,,,0,N/A,883429,9/11/2008,0,0,0,0,,200,0,800,SEAL,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEAUNDRA CHANCELLOR,9185747386,DEAUNDRA.CHANCELLOR@MAGELLANLP.COM,9185747246,
20080290,CONOCOPHILLIPS,9/24/2008,-119.39275N,35.09787W,CRUDE OIL,CRUDE OIL,2,1,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,5220,,,,EQUIPMENT,,,,SUNSET STATION,86923,9/24/2008,0,0,0,0,,220,0,5000,CLEAN UP AND DISPOSAL,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TODD L TULLIO,5807674891,TODD.L.TULLIO@CONOCOPHILLIPS.COM,5807676947,
20080291,"CCPS TRANSPORTATION, LLC",9/5/2008,"41° 30' 24""","-87° 27' 12""",CRUDE OIL,CRUDE OIL,20,20,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,5000,,,,EQUIPMENT,,,HARTSDALE TERM,,N/A,,0,0,0,0,,0,0,5000,CLEANUP AND REPAIR,YES,4,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMILY JURGENS,7153941547,EMILY.JURGENS@ENBRIDGE.COM,,
